
Problem 2: 
iteration;units;learning_rate;momentum;p;c_p;trp;c_tr;vp;c_val;tsp;c_ts;ne;be
1;0;0.100000;0.000000;0.158224;0.787157;0.153970;0.792759;0.165281;0.775561;0.161362;0.788043;5000;5000
2;0;0.100000;0.000000;0.158156;0.787157;0.153681;0.790262;0.165231;0.780549;0.162213;0.788043;5000;5000
3;0;0.100000;0.000000;0.159069;0.788600;0.155712;0.794007;0.165393;0.775561;0.159900;0.793478;5000;5000
4;0;0.100000;0.000000;0.157954;0.790043;0.153632;0.794007;0.164519;0.783042;0.162459;0.788043;5000;5000
5;0;0.100000;0.000000;0.159238;0.785714;0.155356;0.792759;0.166089;0.773067;0.161205;0.782609;5000;5000
6;0;0.100000;0.000000;0.158158;0.787879;0.153558;0.792759;0.164997;0.778055;0.163279;0.788043;5000;5000
7;0;0.100000;0.000000;0.157809;0.787157;0.153473;0.790262;0.164491;0.778055;0.162123;0.793478;5000;5000
8;0;0.100000;0.000000;0.159013;0.786436;0.155074;0.792759;0.165689;0.775561;0.161609;0.782609;5000;5000
9;0;0.100000;0.000000;0.158526;0.787157;0.154747;0.792759;0.165356;0.773067;0.160093;0.793478;5000;5000
10;0;0.100000;0.000000;0.157944;0.789322;0.153271;0.791511;0.164708;0.783042;0.163542;0.793478;5000;5000
1;6;0.100000;0.000000;0.129681;0.831890;0.118213;0.842697;0.142342;0.810474;0.152014;0.831522;3112;3106
2;6;0.100000;0.000000;0.132785;0.813853;0.120386;0.825218;0.150002;0.793017;0.149242;0.809783;4299;4293
3;6;0.100000;0.000000;0.133114;0.813131;0.126251;0.828964;0.144163;0.790524;0.138907;0.793478;2359;2353
4;6;0.100000;0.000000;0.128941;0.829004;0.119611;0.845194;0.141050;0.820449;0.143168;0.777174;4422;4416
5;6;0.100000;0.000000;0.132262;0.816739;0.123021;0.827715;0.145785;0.802993;0.143022;0.798913;2033;2027
6;6;0.100000;0.000000;0.128059;0.828283;0.120267;0.842697;0.135174;0.812968;0.146468;0.798913;5000;5000
7;6;0.100000;0.000000;0.131322;0.825397;0.124779;0.832709;0.136665;0.815461;0.148157;0.815217;2421;2415
8;6;0.100000;0.000000;0.143618;0.809524;0.133035;0.827715;0.163364;0.770574;0.146654;0.815217;2270;2264
9;6;0.100000;0.000000;0.130284;0.823232;0.123928;0.828964;0.139281;0.817955;0.138347;0.809783;2338;2332
10;6;0.100000;0.000000;0.131619;0.814574;0.126664;0.817728;0.137519;0.812968;0.140331;0.804348;2294;2288
1;12;0.100000;0.000000;0.134498;0.825397;0.127161;0.837703;0.146509;0.798005;0.140261;0.831522;2353;2347
2;12;0.100000;0.000000;0.129450;0.825397;0.115200;0.852684;0.149387;0.790524;0.148030;0.782609;3258;3252
3;12;0.100000;0.000000;0.136929;0.822511;0.124555;0.842697;0.154236;0.790524;0.153077;0.804348;2107;2101
4;12;0.100000;0.000000;0.133586;0.821789;0.122558;0.833958;0.150407;0.807980;0.144931;0.798913;2395;2389
5;12;0.100000;0.000000;0.134505;0.824675;0.120592;0.843945;0.154414;0.795511;0.151686;0.804348;2149;2143
6;12;0.100000;0.000000;0.130701;0.823954;0.114321;0.847690;0.150489;0.795511;0.158885;0.782609;2308;2302
7;12;0.100000;0.000000;0.128845;0.829726;0.115502;0.847690;0.146026;0.800499;0.149486;0.815217;2596;2590
8;12;0.100000;0.000000;0.132906;0.821068;0.124232;0.841448;0.144342;0.795511;0.145743;0.788043;1472;1466
9;12;0.100000;0.000000;0.128987;0.827561;0.117018;0.846442;0.142994;0.800499;0.150561;0.804348;2786;2780
10;12;0.100000;0.000000;0.127845;0.829004;0.114993;0.848939;0.143586;0.807980;0.149487;0.788043;4174;4168
1;16;0.100000;0.000000;0.138075;0.813853;0.126985;0.831461;0.156451;0.783042;0.146299;0.804348;1256;1250
2;16;0.100000;0.000000;0.130126;0.829004;0.118008;0.853933;0.145908;0.788030;0.148479;0.809783;1893;1887
3;16;0.100000;0.000000;0.132801;0.818903;0.116410;0.830212;0.155253;0.798005;0.155230;0.815217;2144;2138
4;16;0.100000;0.000000;0.137206;0.818903;0.125342;0.840200;0.157685;0.783042;0.144227;0.804348;1286;1280
5;16;0.100000;0.000000;0.136801;0.818182;0.125739;0.830212;0.150486;0.798005;0.155134;0.809783;2343;2337
6;16;0.100000;0.000000;0.130060;0.829004;0.120726;0.841448;0.140436;0.815461;0.148079;0.804348;2373;2367
7;16;0.100000;0.000000;0.134488;0.817460;0.117199;0.835206;0.158084;0.785536;0.158327;0.809783;2941;2935
8;16;0.100000;0.000000;0.137709;0.820346;0.124902;0.841448;0.154550;0.785536;0.156757;0.804348;1749;1743
9;16;0.100000;0.000000;0.142177;0.813131;0.127894;0.830212;0.161455;0.778055;0.162345;0.815217;1449;1443
10;16;0.100000;0.000000;0.133251;0.831890;0.118329;0.861423;0.158651;0.788030;0.142855;0.798913;2448;2442
