Problem 4.1: ;;;;;;;
p_mean;p_std;trp_mean;trp_std;vp_mean;vp_std;tsp_mean;tsp_std
0.121097;0.008344;0.111648;0.011513;0.132651;0.010456;0.137055;0.014425
;;;;;;;
;;;;;;;
Problem 4.2: ;;;;;;;
p_mean;p_std;trp_mean;trp_std;vp_mean;vp_std;tsp_mean;tsp_std
0.122055;0.006441;0.111288;0.008643;0.136018;0.007468;0.138496;0.008520
