0.6552	0.3718	0	0	0	1	1	0	0	0.0285	0.0286	0.0492	0.0976	0.2047	0.1205	0.1423	0.0173	0.0059	0.011	0.1145	0.0116	0.0923	0.0608	0.1514	0.1182	0.6156	0.0758	0	0.056	1
0.6034	0.1613	0	0.3333	0	1	0	0	1	0.0161	0.0252	0.0386	0.0843	0.333	0.0996	0.1299	0.2686	0.0092	0.0169	0.1537	0.0187	0.0349	0.1017	0.0014	0.1344	0.2603	0.0371	0.1627	0.0868	1
0.569	0.3422	1	0.6667	0	1	1	0	0	0.0039	0.0246	0.0001	0	0.0003	0.1334	0.1632	0.0042	0.022	0.0198	0.0225	0.0054	0.0369	0.0087	0.025	0.0872	0.0001	0.0001	0	0.1311	0
0.6724	0.1576	1	0	0	1	0	0	0	0.4053	0.0479	0.0117	0.0176	0.3391	0.0907	0.1198	0.0084	0.0103	0.0089	0.0068	0.0088	0.0988	0.0341	0.0112	0.0104	0.0613	0.1417	0.004	0.0796	1
0.3966	0.1459	1	0.3333	0	1	0	0	0	0.0128	0.2231	0.0425	0.1167	0.1186	0.1833	0.1295	0.0127	0.0009	0.0125	0.0219	0.0281	0.1713	0.0513	0.0171	0.6228	0.4779	0.0026	0.0435	0.0472	0
0.2931	0.2127	1	0.3333	0	1	1	0	0	0.0103	0.0754	0.1217	0.3117	0.8113	0.2632	0.3283	0.3223	0.0038	0.008	0.1539	0.0302	0.1078	0.0675	0.0615	0.0845	0.7981	0.3069	0.0956	0.0492	1
0.6724	0.1503	1	0.3333	0	1	1	0	0	0.0098	0.0582	0.0112	0.0789	0.2455	0.5019	0.817	0.1015	0.0192	0.0044	0.0866	0.0111	0.1488	0.1027	0.1202	0.0784	0.6584	0.2527	0.126	0.0664	1
0.6379	0.3787	1	0	0	1	0	0	1	0.0024	0.0058	0.0218	0.0018	0.1251	0.1581	0.6917	0.0045	0.081	0.0112	0.021	0.0297	0.0419	0.0466	0.0072	0.095	0.2174	0.0779	0.001	0.0592	0
0.1552	0.0992	0	0.1667	0	1	0	1	1	0.0017	0.0154	0.0524	0.0266	0.1418	0.0873	0.124	0.0006	0.1	0.0138	0.1098	0.0162	0.0542	0.0787	0.0478	0.0623	0.2691	0.0807	0.0054	0.0604	1
0.3276	0.0715	1	0.1667	0	1	1	1	1	0.0281	0.0365	0.0833	0.0864	0.2048	0.1241	0.1224	0.0682	0.0069	0.0188	0.1079	0.0211	0.211	0.0938	0.0105	0.084	0.8793	0.0073	0.0205	0.0091	1
0.5172	0.1769	0	0.1667	1	0	0	0	0	0.0854	0.2487	0.3234	0.0114	0.462	0.1965	0.1206	0.0054	0.3318	0.0232	0.1077	0.0018	1	0.1517	0.0546	1	0.0998	0.1204	0.001	0.0363	0
0.3276	0.2703	1	0.8333	0	1	0	0	1	0.0022	0.1822	0.0391	0.001	0.1635	0.2125	0.1415	0.0099	0.0169	0.0247	0.0073	0.0094	0.1281	0.0422	0.0129	0.1357	0.5764	0.0331	0.0108	0.1012	0
0.3448	0.1981	1	0.1667	0	1	0	0	1	0.0069	0.042	0.023	0.0241	0.0281	0.2726	0.1621	0.0156	0.0624	0.0207	0.0285	0.04	0.0631	0.027	0.0013	0.0245	0.7195	0.0776	0.0043	0.0139	0
0.569	0.3776	0	0.1667	1	0	0	0	1	0.01	0.0397	0.0199	0.0044	0.292	0.1466	0.1261	0.005	0.0449	0.0072	0.01	0.0197	0.1642	0.0228	0.0236	0.0225	0.7096	0.0293	0	0.3033	0
0.2586	0.201	0	0.1667	0	1	0	0	1	0.0134	0.0476	0.2072	0.1304	0.7696	0.1937	0.3436	0.1099	0.0529	0.0054	0.0853	0.03	0.182	0.1134	0.0583	0.0325	0.0019	0.1233	0.0448	0.0711	0
0.4655	0.1412	0	0.1667	0	1	0	0	0	0.0205	0.1399	0.1289	0.0404	0.0863	0.0752	0.1231	0.1752	0.0159	0.0082	0.0228	0.0189	0.2529	0.0041	0.1187	0.233	0.7709	0.0273	0	0.083	0
0.5	0.0405	0	0.1667	0	1	0	0	1	0.0017	0.0653	0.1807	0.0449	0.7178	0.1133	0.1454	0.0082	0.7155	0.0234	0.3141	0.0018	0.0462	0.112	0.1585	0.0969	0.0478	0.0522	0.2005	0.1044	1
0.5517	0.073	1	0	0	1	0	0	1	0.0108	0.151	0.0199	0.1522	0.5518	0.2119	0.1695	0.2166	0.1478	0.0203	0.1489	0.0216	0.1604	0.2827	0.0262	0.0023	0.0289	0.1335	0.3573	0.2747	1
0.6207	0.2163	0	0.1667	0	1	0	0	0	0.0423	0.2401	0.0107	0.0053	0.6861	0.2296	0.1591	0.0166	0.0217	0.0138	0.0103	0.0309	0.0579	0.0236	0.0014	0.0933	0.2584	0.0551	0	0.142	0
0.5172	0.1638	0	0.1667	0	1	0	0	0	0.0114	0.2414	0.0485	0.6172	0.0658	0.1348	0.2624	0.0101	0.2833	0.0025	0.075	0.0075	0.0215	0.0448	0.7194	0.0005	0.5938	0.0265	0.7262	0.0125	1
