
Problem 3: 
units;learning_rate;momentum;cp_mean;cp_std;ctr_mean;ctr_std;cval_mean;cval_std;cts_mean;cts_std
0;0.000000;0.000000;0.781962;0.004844;0.786642;0.007073;0.770574;0.005759;0.786413;0.005156
6;0.000000;0.000000;0.840332;0.011494;0.857303;0.015627;0.817706;0.010412;0.815761;0.017461
12;0.000000;0.000000;0.839971;0.013194;0.863920;0.016698;0.809227;0.017247;0.802717;0.013569
16;0.000000;0.000000;0.832251;0.009172;0.857553;0.012309;0.797257;0.011934;0.798370;0.018905

best_unit;best_vp
6.000000;0.817706
